website,page_url,title,summary,topics
www.cobeisfresh.com,https://www.cobeisfresh.com/projects/wearonize,Wearonize AG,"Wearonize AG is a company that provides wearable payment methods and has developed a complex product with clear and simple design. They offer UXi services for user experience identity, product strategy, and more.","Wearable Payment Methods, UX Design, Product Development"
www.cobeisfresh.com,https://www.cobeisfresh.com/contact,COBE International,Contact information and privacy policy for COBE Munich and COBE Osijek.,"Company Information, Privacy Policy, Locations"
www.cobeisfresh.com,https://www.cobeisfresh.com/use-cases/audit-assessment,UX Audit and Design System Services,"COBE offers UX audit, design system services, and custom solutions to improve user experience, accessibility, and security. Their services help businesses launch new services faster, prioritize what works, and fix blind spots.","UX Audit, Design System Development, Custom Solutions for IoT and Web Applications"
www.cobeisfresh.com,https://www.cobeisfresh.com/blog/how-uxi-ensures-consistency-in-design-systems,Design Systems for Consistency,"A design system ensures consistency across all touchpoints, building brand credibility and trust. It bridges the gap between abstract brand values and tangible, usable design.","Design Systems, Consistency, Brand Identity"
www.cobeisfresh.com,https://www.cobeisfresh.com/blog,Untitled,"Contact us Blog Inside COBE: Meet our blog and podcast. Benefit from our wins and fails by diving into what we've learned through years of designing and coding digital experiences. Filter by category All UI/UX Design Development Culture Other UI/UX Design May 29, 2025 Why Accessibility is no Longer Optional:",
www.cobeisfresh.com,https://www.cobeisfresh.com/projects/rmv-go,RMVgo App Design,"The RMVgo app is a redesigned application for passengers of Rhein-Main-Verkehrsverbund, featuring a user-centered design with a focus on accessibility and usability. The app allows users to quickly find connections, buy tickets, and book sharing vehicles.","Accessibility, Usability, Design System"
www.cobeisfresh.com,https://www.cobeisfresh.com/use-cases/custom-iot-solution,COBE IoT Solutions,"COBE helps businesses streamline workflows, cut manual effort, and turn complex systems into effortless experiences with their custom IoT solutions.","Custom IoT Solution, IoT Development, Quality Assurance"
www.cobeisfresh.com,https://www.cobeisfresh.com/blog/how-to-choose-the-right-cms-for-your-business,Choosing the Right Content Management System (CMS) for Your Business,"A comprehensive guide to selecting a CMS that balances business needs, content workflows, and technical skills, with a focus on security, accessibility, and future-proofing.","Traditional vs. Headless CMS, Industry-Specific CMS Recommendations, Common Mistakes to Avoid, Security Best Practices, Accessibility and Inclusive Design"
www.cobeisfresh.com,https://www.cobeisfresh.com/use-cases/design-system,COBE Design System,"A comprehensive design system for scalable brand consistency, seamless workflows, and efficient development. It includes a structured component library, design tokens, documentation, and governance.","Design Systems, Scalable Brand Consistency, Efficient Development"
www.cobeisfresh.com,https://www.cobeisfresh.com/blog/creating-a-company-culture-across-international-offices,Building a Company Culture Across International Offices,"COBE Camp is an internal event that brings together team members across different countries and offices to share knowledge, grow together, and build a culture rooted in learning and international teamwork.","Company Culture, International Teamwork, Knowledge-Sharing, Learning and Development"
www.cobeisfresh.com,https://www.cobeisfresh.com/uxi-brand-experience-agency,COBE UXi,"COBE UXi is a user experience identity method that uses science to craft brand-driven UX/UI design. It offers services such as UXi package, evaluation, consulting, and process development.","User Experience Identity, Design Process, Brand-Driven Design"
www.cobeisfresh.com,https://www.cobeisfresh.com/projects/messe-munchen,Messe München Website,"The website is a one-stop-shop for visitors and exhibitors, featuring a digital framework, streamlined user-journeys, and a themeable design system.","Digital Transformation, UX Design, Web Development"
www.cobeisfresh.com,https://www.cobeisfresh.com/projects,Untitled,Contact us Projects How our clients unfold their full potential. From the check-out counter to the kitchen – we make sure users feel the magic by letting their brand shine through the product. Filter by service All UX/UI Design App & Web Development UXi UX Research Quality Assurance Prototyping Coming,
www.cobeisfresh.com,https://www.cobeisfresh.com/use-cases,COBE Digital Solutions,"COBE offers a range of services including MVP development, custom IoT solutions, website relaunches, and design system implementation. They also provide audit and assessment services to help businesses improve their digital experiences.","Digital Experience Design, IoT Solution Development, Website Optimization"
www.cobeisfresh.com,https://www.cobeisfresh.com/app-design-agency,Service Overview,"Company provides app and web development services with a focus on quality, customisation, and business value. They offer various services including product development, quality assurance, and development support.","App Development, Web Development, Development Support"
www.cobeisfresh.com,https://www.cobeisfresh.com/ui-ux-design-services,COBE Digital Solutions,"Full-service digital agency offering strategy, design, development, and testing services for web and mobile applications.","Digital Agency, Web Development, UX Design"
www.cobeisfresh.com,https://www.cobeisfresh.com/ux-ui-design-agency,Brand-Driven UX/UI Design Services,"The company offers various services including UX/UI Design, Motion Design, UX Writing, and Product Design to create a perfect digital User Experience.","UX/UI Design, Motion Design, User Experience (UX) Writing, Product Design"
www.cobeisfresh.com,https://www.cobeisfresh.com/,COBE Overview,"COBE is a digital product company offering services from concept to code, including UX Research, Powerfull insights and App & Web Development. They have worked with clients such as ProSiebenSat.1, Vodafone, and BMW Group.","Digital Product Company, UX Research Services, App and Web Development"
www.cobeisfresh.com,https://www.cobeisfresh.com/use-cases/website-relaunch,Website Relaunch Services,"COBE offers website relaunch services with a focus on user experience, design systems, and business growth. Our team helps you create a faster, smarter, and more effective digital experience.","Website Relaunch, Design Systems, User Experience, Business Growth"
www.cobeisfresh.com,https://www.cobeisfresh.com/quality-assurance,Quality Assurance Services,"The company offers quality assurance services, including manual and automated testing, consulting, and custom services. They emphasize the importance of collaboration between QA and development teams.","Quality Assurance, Agile Software Development, Product Development"
www.cobeisfresh.com,https://www.cobeisfresh.com/newsletter,COBE Newsletter,"Newsletter about digital game industry highlights, expert insights, and freshest updates.","Industry News, Expert Insights, Digital Game Updates"
www.cobeisfresh.com,https://www.cobeisfresh.com/about-us,COBE Team,"COBE is an international company with offices in Munich and Osijek, offering UX design, web development, and project management services. The team consists of experts in various fields, including UX/UI design, frontend and backend development, and quality assurance.","UX Design, Web Development, Project Management, Software Development"
www.cobeisfresh.com,https://www.cobeisfresh.com/projects/giga-tv,Vodafone GigaTV UX Design,"GigaTV is a TV service designed for a diverse audience, with a focus on accessibility and innovative design. The project involved exploring visionary concepts, conducting user research, and creating a well-rounded brand universe.","UX Design, User Experience, Innovative Design"
www.cobeisfresh.com,https://www.cobeisfresh.com/ux-research-agency,COBE UX Research Services,"COBE offers various UX research services, including quantitative and qualitative methods, to gain insights into human needs and motivation. Their services include surveys, ethnographic research, diary studies, focus groups, and usability testing.","UX Research, Quantitative Methods, Qualitative Methods, User Experience Design"
www.cobeisfresh.com,https://www.cobeisfresh.com/projects/joe-bonus-club,jö Bonus Club,A digital platform rethinking the shopping experience with a focus on user-centered design and high-quality development.,"User Experience Design, Mobile App Development, Web Development, Design System"
www.cobeisfresh.com,https://www.cobeisfresh.com/de,COBE,"COBE ist eine digitale Agentur, die UX Research, Design und Entwicklung anbietet. Sie hat Erfahrungen mit verschiedenen Kunden wie BMW Group, ProSiebenSat.1 und Vodafone.","Digitale Agentur, UX Research, Design und Entwicklung"
www.cobeisfresh.com,https://www.cobeisfresh.com/use-cases/mvp-development,COBE: Agile Product Development,"COBE offers agile product development services, including MVP creation, UX research, and quality assurance. Their approach focuses on lean development, real user feedback, and scalability.","Agile Product Development, MVP Creation, UX Research, Quality Assurance"
www.cobeisfresh.com,https://www.cobeisfresh.com/prototyping,Design Services,"The company offers various design services including prototyping, product ownership, and UX/UI design. They help generate innovative ideas for digital products and provide high-fidelity prototypes to visualize user interactions.","Product Design, Prototyping, UX/UI Design"
www.cobeisfresh.com,https://www.cobeisfresh.com/blog/what-makes-ux-inseparable-from-brand-identity,Untitled,"Contact us Blog UI/UX Design 7 min read Published July 22, 2025 What Makes UX Inseparable from Brand Identity Felix Co-Founder & Managing Director Let’s start with a loaded question: what is the role of brands in today’s digital world? With billions of products and offerings flashing at you from",
www.cobeisfresh.com,https://www.cobeisfresh.com/projects/fyeo,Untitled,"Contact us Projects ProSiebenSat.1 Watch how FYEO disrupts the world of audio content. Our Challenges High Market Pressure The market for podcast apps is packed with strong competitors, giving new apps a hard time to make an impact. A Unique User Experience We believe that a truly unique user experience",
www.cobeisfresh.com,https://www.cobeisfresh.com/legal-information,Legal Information,"COBE GmbH provides legal information about its company and website, including contact details and liability policies.","Company Information, Website Terms, Liability Policies"
www.cobeisfresh.com,https://www.cobeisfresh.com/product-ownership,Product Ownership Services,"Company offers product ownership services, including strategy, requirements management, backlog management, and process optimization. They also provide custom services and support for app and web development, quality assurance, and business innovation.","Product Strategy, Requirements Management, Backlog Management"
www.cobeisfresh.com,https://www.cobeisfresh.com/design-systems,Design Systems Services,"Our company offers comprehensive design system services, including consulting, maintenance, and custom development. Our goal is to empower brands with a unified brand identity and consistency throughout all products.","Design System Consulting, Design System Maintenance, Custom Design System Development"
www.cobeisfresh.com,https://www.cobeisfresh.com/projects/data-portal,Untitled,Contact us Projects BMW Group Learn how BMW Group turns data into insights for everyone. Our Challenges Managing Complexity Creating a pleasant experience for searching and processing highly technical and complex data in the Data Portal sent us on a bold mission: reducing complexity for the user without reducing accuracy.,
